area_type,availability,location,size,society,total_sqft,bath,balcony,price,month,ready,extract,address
Super built-up  Area,Ready To Move,Rukmaiah Layout,3.0,others,7.412160334945205,3.0,2.0,4.4665975361241514,,Ready To Move,Ready To Move,"Rukmaiah Layout,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Hennur Road,3.0,SaireSa,7.630946580890459,3.0,1.0,5.0106352940962555,,Ready To Move,Ready To Move,"Hennur Road,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Bommanahalli,3.0,SNeur G,7.456454555176209,3.0,1.0,4.574710978503383,,Ready To Move,Ready To Move,"Bommanahalli,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Yelahanka,3.0,Leilo E,7.694392802629421,4.0,2.0,4.852030263919617,,Ready To Move,Ready To Move,"Yelahanka,Bangalore,Karnataka,India"
Super built-up  Area,18-Mar,Kathriguppe,3.0,others,7.409136443920128,3.0,2.0,4.836281906951478,Mar,,Mar,"Kathriguppe,Bangalore,Karnataka,India"
Plot  Area,Ready To Move,KR Puram,2.0,others,7.0909098220799835,2.0,0.0,4.276666119016055,,Ready To Move,Ready To Move,"KR Puram,Bangalore,Karnataka,India"
Super built-up  Area,18-May,Hosa Road,2.0,others,6.984716320118266,2.0,1.0,3.5076572927632825,May,,May,"Hosa Road,Bangalore,Karnataka,India"
Super built-up  Area,19-Oct,Panathur,2.0,Caiya D,6.990256500493881,2.0,1.0,3.6109179126442243,Oct,,Oct,"Panathur,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Maruthi Sevanagar,7.0,others,8.517393171418904,7.0,2.0,5.703782474656201,,Ready To Move,Ready To Move,"Maruthi Sevanagar,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Yelahanka,2.0,others,6.98100574072173,2.0,1.0,3.960813169597578,,Ready To Move,Ready To Move,"Yelahanka,Bangalore,Karnataka,India"
Super built-up  Area,18-May,Devanahalli Int. Airport,2.0,others,7.2305631534092925,2.0,1.0,4.394449154672439,May,,May,"Devanahalli Int. Airport,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Puttanahalli,3.0,others,7.280008252884188,3.0,1.0,4.189654742026425,,Ready To Move,Ready To Move,"Puttanahalli,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Thubarahalli,2.0,others,7.0909098220799835,2.0,2.0,4.3694478524670215,,Ready To Move,Ready To Move,"Thubarahalli,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Benson Town,3.0,others,8.071218539969863,4.0,2.0,5.860786223465865,,Ready To Move,Ready To Move,"Benson Town,Bangalore,Karnataka,India"
Super built-up  Area,21-Jul,Hoodi,3.0,GoAirej,7.402451520818244,3.0,1.0,4.598346960639966,Jul,,Jul,"Hoodi,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Jakkuru Layout,2.0,others,7.0909098220799835,2.0,1.0,4.007333185232471,,Ready To Move,Ready To Move,"Jakkuru Layout,Bangalore,Karnataka,India"
Super built-up  Area,21-Jun,Vijayanagar,3.0,Saityat,7.461640392208575,3.0,1.0,4.762173934797756,Jun,,Jun,"Vijayanagar,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Palanahalli,4.0,RMaanSa,8.377241230988792,5.0,2.0,6.2166061010848646,,Ready To Move,Ready To Move,"Palanahalli,Bangalore,Karnataka,India"
Super built-up  Area,20-Dec,Old Madras Road,2.0,Shmes O,6.841615476477592,2.0,1.0,3.518091133133655,Dec,,Dec,"Old Madras Road,Bangalore,Karnataka,India"
Super built-up  Area,21-Nov, Thanisandra,1.0,Bhe 2ko,6.236369590203704,1.0,1.0,3.2676659890376327,Nov,,Nov," Thanisandra,Bangalore,Karnataka,India"
Plot  Area,Ready To Move,Devasandra Extension,6.0,others,7.0909098220799835,6.0,3.0,5.198497031265826,,Ready To Move,Ready To Move,"Devasandra Extension,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Nagondanahalli,2.0,PrestSe,7.072421900537371,2.0,3.0,3.871201010907891,,Ready To Move,Ready To Move,"Nagondanahalli,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Chikkalasandra,3.0,Siourpl,7.226936018493289,2.0,1.0,3.9318256327243257,,Ready To Move,Ready To Move,"Chikkalasandra,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Chandapura,3.0,Halms S,6.97166860472579,2.0,1.0,3.5263605246161616,,Ready To Move,Ready To Move,"Chandapura,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3.0,others,7.280008252884188,2.0,1.0,3.9464244321454784,,Ready To Move,Ready To Move,"2nd Phase Judicial Layout,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,BEML Layout,2.0,others,6.907755278982137,2.0,3.0,3.828641396489095,,Ready To Move,Ready To Move,"BEML Layout,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Amruthahalli,2.0,others,8.38958706681109,3.0,2.0,6.16541785423142,,Ready To Move,Ready To Move,"Amruthahalli,Bangalore,Karnataka,India"
Plot  Area,Ready To Move,Marathahalli,5.0,others,7.208600337960199,4.0,1.0,4.912654885736052,,Ready To Move,Ready To Move,"Marathahalli,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Kothannur,2.0,others,7.00397413672268,2.0,2.0,3.713572066704308,,Ready To Move,Ready To Move,"Kothannur,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Koramangala,3.0,Wiass G,7.515344571180436,2.0,3.0,5.049856007249537,,Ready To Move,Ready To Move,"Koramangala,Bangalore,Karnataka,India"
Super built-up  Area,20-Dec,Hoodi,4.0,Caycend,7.645397699428633,4.0,0.0,4.565389315976247,Dec,,Dec,"Hoodi,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Lingadheeranahalli,3.0,Soiewre,7.326465613840322,3.0,1.0,4.543294782270004,,Ready To Move,Ready To Move,"Lingadheeranahalli,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Dommasandra,3.0,Asene S,7.145196134997171,3.0,2.0,4.04305126783455,,Ready To Move,Ready To Move,"Dommasandra,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Sanjay nagar,2.0,Camesa ,7.048386408721883,2.0,3.0,4.293195420967266,,Ready To Move,Ready To Move,"Sanjay nagar,Bangalore,Karnataka,India"
Super built-up  Area,19-Dec,Marathahalli,2.0,PrensKe,7.044905117129371,2.0,1.0,4.2626798770413155,Dec,,Dec,"Marathahalli,Bangalore,Karnataka,India"
Plot  Area,18-Feb,1st Block HRBR Layout,8.0,others,7.0909098220799835,7.0,0.0,5.4638318050256105,Feb,,Feb,"1st Block HRBR Layout,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Kannamangala,3.0,Marnaer,7.346655163176539,3.0,3.0,4.189654742026425,,Ready To Move,Ready To Move,"Kannamangala,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Chandapura,2.0,KHityry,6.7464121285733745,1.0,1.0,2.970414465569701,,Ready To Move,Ready To Move,"Chandapura,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Richmond Town,3.0,Kaestid,7.696667081526462,3.0,2.0,5.236441962829949,,Ready To Move,Ready To Move,"Richmond Town,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,"Sarjapur Road, ",3.0,others,8.110727582974489,3.0,2.0,5.802118375377063,,Ready To Move,Ready To Move,"Sarjapur Road, ,Bangalore,Karnataka,India"
Carpet  Area,Ready To Move,Electronics City Phase 1,1.0,others,6.666956792429207,1.0,1.0,4.02535169073515,,Ready To Move,Ready To Move,"Electronics City Phase 1,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Hebbal Kempapura,3.0,GonumPl,7.972810784121404,4.0,2.0,5.707110264748875,,Ready To Move,Ready To Move,"Hebbal Kempapura,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3.0,Avlya A,7.384610383176974,3.0,2.0,4.31748811353631,,Ready To Move,Ready To Move,"Raja Rajeshwari Nagar,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Bellandur,2.0,Krine O,6.826545223556594,2.0,2.0,3.713572066704308,,Ready To Move,Ready To Move,"Bellandur,Bangalore,Karnataka,India"
Plot  Area,Ready To Move,Kengeri Satellite Town,3.0,others,6.7464121285733745,3.0,2.0,4.564348191467836,,Ready To Move,Ready To Move,"Kengeri Satellite Town,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Bannerghatta Road,5.0,others,7.901377353792616,5.0,0.0,5.0689042022202315,,Ready To Move,Ready To Move,"Bannerghatta Road,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Sarjapur  Road,3.0,SocusHi,7.438971592395862,3.0,3.0,4.709530201312334,,Ready To Move,Ready To Move,"Sarjapur  Road,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Sarjapur,2.0,Sondaka,6.928537818164665,2.0,2.0,3.58351893845611,,Ready To Move,Ready To Move,"Sarjapur,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Billekahalli,2.0,Dintsmi,6.994849985833071,2.0,3.0,3.970291913552122,,Ready To Move,Ready To Move,"Billekahalli,Bangalore,Karnataka,India"
Plot  Area,Ready To Move,Bagalur Main Road,4.0,others,8.188966863648876,4.0,2.0,5.707110264748875,,Ready To Move,Ready To Move,"Bagalur Main Road,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Haralur Road,2.0,others,6.93537044601511,2.0,2.0,3.8066624897703196,,Ready To Move,Ready To Move,"Haralur Road,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Thanisandra,2.0,MenueNo,7.078341579557671,2.0,2.0,3.763522997109702,,Ready To Move,Ready To Move,"Thanisandra,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Doddathoguru,2.0,Prianhi,6.7464121285733745,2.0,1.0,3.258096538021482,,Ready To Move,Ready To Move,"Doddathoguru,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Harlur,2.0,Prncyrn,7.088408778675395,2.0,1.0,4.442651256490317,,Ready To Move,Ready To Move,"Harlur,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Byadarahalli,4.0,ETntsce,8.160803920954665,3.0,3.0,6.111467339502679,,Ready To Move,Ready To Move,"Byadarahalli,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Poorna Pragna Layout,2.0,others,6.825460036255307,2.0,2.0,3.702535780561422,,Ready To Move,Ready To Move,"Poorna Pragna Layout,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Chamrajpet,9.0,others,8.949645513275145,9.0,1.0,5.6937321388027,,Ready To Move,Ready To Move,"Chamrajpet,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2.0,i1rtsCo,7.00850518208228,2.0,1.0,4.189654742026425,,Ready To Move,Ready To Move,"Raja Rajeshwari Nagar,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Yeshwanthpur,3.0,GoandAc,7.523481312573497,3.0,3.0,4.61512051684126,,Ready To Move,Ready To Move,"Yeshwanthpur,Bangalore,Karnataka,India"
Super built-up  Area,20-Dec,Judicial Layout,3.0,PrarePa,7.170888478512505,3.0,1.0,4.174387269895637,Dec,,Dec,"Judicial Layout,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,"Varthur Road, ",3.0,others,7.3752557780097545,3.0,2.0,4.343805421853684,,Ready To Move,Ready To Move,"Varthur Road, ,Bangalore,Karnataka,India"
Super built-up  Area,19-Dec,Kodihalli,4.0,Priesla,8.03073492409854,5.0,2.0,6.546785410760524,Dec,,Dec,"Kodihalli,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Horamavu Agara,2.0,others,6.628041376179533,2.0,1.0,3.6503984672956546,,Ready To Move,Ready To Move,"Horamavu Agara,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Nagasandra,5.0,others,8.30671904320269,5.0,2.0,4.948759890378168,,Ready To Move,Ready To Move,"Nagasandra,Bangalore,Karnataka,India"
Super built-up  Area,21-Dec,Kanakpura Road,3.0,others,7.170888478512505,2.0,3.0,4.248495242049359,Dec,,Dec,"Kanakpura Road,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Bannerghatta Road,2.0,others,7.103322062526113,2.0,0.0,3.9318256327243257,,Ready To Move,Ready To Move,"Bannerghatta Road,Bangalore,Karnataka,India"
Super built-up  Area,20-Oct,Kanakpura Road,2.0,PrarePa,6.803505257608338,2.0,1.0,3.8501476017100584,Oct,,Oct,"Kanakpura Road,Bangalore,Karnataka,India"
Super built-up  Area,18-Oct,Banashankari Stage III,2.0,others,7.044032897274685,2.0,3.0,4.084294226368599,Oct,,Oct,"Banashankari Stage III,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Chikka Banaswadi,2.0,others,6.9975959829819265,2.0,2.0,4.189654742026425,,Ready To Move,Ready To Move,"Chikka Banaswadi,Bangalore,Karnataka,India"
Super built-up  Area,17-Nov,Babusapalaya,3.0,others,7.101675971619444,2.0,2.0,3.746912485364546,Nov,,Nov,"Babusapalaya,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Bannerghatta Road,3.0,PrliaRe,7.411556287811163,3.0,2.0,4.61512051684126,,Ready To Move,Ready To Move,"Bannerghatta Road,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,NGR Layout,2.0,others,7.00850518208228,2.0,1.0,3.9793077522337423,,Ready To Move,Ready To Move,"NGR Layout,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Babusapalaya,3.0,others,7.385230923066573,2.0,2.0,4.204692619390966,,Ready To Move,Ready To Move,"Babusapalaya,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Outer Ring Road East,2.0,Hoens T,7.221105098182496,2.0,2.0,4.143134726391533,,Ready To Move,Ready To Move,"Outer Ring Road East,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Devanahalli,2.0,Brntsal,6.918695219020472,2.0,1.0,3.9512437185814275,,Ready To Move,Ready To Move,"Devanahalli,Bangalore,Karnataka,India"
Plot  Area,Ready To Move,Kavika Layout,3.0,others,6.621405651764134,2.0,1.0,4.330733340286331,,Ready To Move,Ready To Move,"Kavika Layout,Bangalore,Karnataka,India"
Carpet  Area,Ready To Move,Vinayaka Nagar,3.0,SVon hn,7.336936913707618,3.0,1.0,4.564348191467836,,Ready To Move,Ready To Move,"Vinayaka Nagar,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Anekal,2.0,others,6.431331081933479,2.0,1.0,3.1354942159291497,,Ready To Move,Ready To Move,"Anekal,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Horamavu Agara,2.0,others,6.890609120147166,2.0,1.0,3.884651808632014,,Ready To Move,Ready To Move,"Horamavu Agara,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Banashankari Stage II,2.0,others,7.438971592395862,2.0,2.0,5.017279836814924,,Ready To Move,Ready To Move,"Banashankari Stage II,Bangalore,Karnataka,India"
Super built-up  Area,18-Dec,Whitefield,2.0,BSlasin,7.193685818395112,2.0,1.0,4.276666119016055,Dec,,Dec,"Whitefield,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,JP Nagar,3.0,Ronty C,7.824445930877619,3.0,2.0,4.912654885736052,,Ready To Move,Ready To Move,"JP Nagar,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Poorna Pragna Layout,3.0,others,7.297091005160418,2.0,2.0,4.094177881665002,,Ready To Move,Ready To Move,"Poorna Pragna Layout,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Bhoganhalli,3.0,BSisear,7.252053951852814,3.0,1.0,4.189654742026425,,Ready To Move,Ready To Move,"Bhoganhalli,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Yelahanka New Town,1.0,others,6.089044875446846,1.0,1.0,2.8622008809294686,,Ready To Move,Ready To Move,"Yelahanka New Town,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Yelahanka,3.0,PuziaVe,7.387090235656757,3.0,2.0,4.564348191467836,,Ready To Move,Ready To Move,"Yelahanka,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Neeladri Nagar,2.0,GeereEc,7.218176838403408,2.0,2.0,4.23410650459726,,Ready To Move,Ready To Move,"Neeladri Nagar,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Kogilu,2.0,others,6.478509642208569,2.0,0.0,3.367295829986474,,Ready To Move,Ready To Move,"Kogilu,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Dodda Kempaiah Layout,2.0,others,6.923628628138427,2.0,1.0,3.828641396489095,,Ready To Move,Ready To Move,"Dodda Kempaiah Layout,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2.0,others,7.053585727193677,2.0,2.0,3.8501476017100584,,Ready To Move,Ready To Move,"Horamavu Banaswadi,Bangalore,Karnataka,India"
Super built-up  Area,19-Mar,Hennur Busstop,2.0,others,7.00397413672268,2.0,1.0,4.154184562578117,Mar,,Mar,"Hennur Busstop,Bangalore,Karnataka,India"
Super built-up  Area,18-Jan,KR Puram,3.0,others,7.283448228756631,3.0,2.0,3.8501476017100584,Jan,,Jan,"KR Puram,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,GB Palya,2.0,Ravashw,6.836259277277067,2.0,1.0,3.828641396489095,,Ready To Move,Ready To Move,"GB Palya,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,AMS Layout,3.0,others,7.409136443920128,2.0,2.0,4.394449154672439,,Ready To Move,Ready To Move,"AMS Layout,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,KR Puram,2.0,others,7.0909098220799835,2.0,0.0,4.51085950651685,,Ready To Move,Ready To Move,"KR Puram,Bangalore,Karnataka,India"
Plot  Area,Ready To Move,9th Block Jayanagar,1.0,others,6.55250788703459,1.0,0.0,5.017279836814924,,Ready To Move,Ready To Move,"9th Block Jayanagar,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Karuna Nagar,4.0,AjityIn,7.972810784121404,3.0,2.0,4.912654885736052,,Ready To Move,Ready To Move,"Karuna Nagar,Bangalore,Karnataka,India"
Super built-up  Area,18-Mar,Kadugodi,3.0,Alestrb,7.544861068658458,4.0,3.0,4.852030263919617,Mar,,Mar,"Kadugodi,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Ashwathnagar,3.0,Vaour S,7.6953031349635665,4.0,3.0,5.638354669333745,,Ready To Move,Ready To Move,"Ashwathnagar,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Hebbal Kempapura,3.0,GonumPl,8.167068178341237,3.0,2.0,5.942799375126701,,Ready To Move,Ready To Move,"Hebbal Kempapura,Bangalore,Karnataka,India"
Super built-up  Area,18-Apr,Gaurava Nagar,3.0,others,7.123672785204607,2.0,2.0,3.8501476017100584,Apr,,Apr,"Gaurava Nagar,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,HRBR Layout,2.0,Vaaveeh,7.273092595999522,2.0,2.0,4.59511985013459,,Ready To Move,Ready To Move,"HRBR Layout,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Kodichikkanahalli,1.0,others,6.478509642208569,1.0,2.0,3.6635616461296463,,Ready To Move,Ready To Move,"Kodichikkanahalli,Bangalore,Karnataka,India"
Super built-up  Area,19-Jun,Budigere,1.0,Brstaue,6.639875833826536,1.0,1.0,3.4965075614664802,Jun,,Jun,"Budigere,Bangalore,Karnataka,India"
Plot  Area,Ready To Move,Sector 7 HSR Layout,5.0,others,6.803505257608338,4.0,0.0,4.51085950651685,,Ready To Move,Ready To Move,"Sector 7 HSR Layout,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3.0,GrrvaGr,7.434847875211999,3.0,3.0,4.067144642295446,,Ready To Move,Ready To Move,"Raja Rajeshwari Nagar,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Hoodi,3.0,Macanr ,7.27655640271871,3.0,2.0,4.189654742026425,,Ready To Move,Ready To Move,"Hoodi,Bangalore,Karnataka,India"
Super built-up  Area,21-Oct,Kanakpura Road,2.0,PrarePa,6.803505257608338,1.0,0.0,3.828641396489095,Oct,,Oct,"Kanakpura Road,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Singasandra,2.0,others,6.93828448401696,2.0,2.0,4.02535169073515,,Ready To Move,Ready To Move,"Singasandra,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Yelahanka,3.0,Pyikad ,7.231287004327616,2.0,2.0,3.9793077522337423,,Ready To Move,Ready To Move,"Yelahanka,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Basapura,2.0,Krtiqa ,7.00397413672268,2.0,1.0,4.110873864173311,,Ready To Move,Ready To Move,"Basapura,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Hoodi,3.0,others,7.362645270417825,3.0,2.0,4.2104966389581255,,Ready To Move,Ready To Move,"Hoodi,Bangalore,Karnataka,India"
Plot  Area,Ready To Move,Thigalarapalya,2.0,others,7.0909098220799835,2.0,1.0,4.189654742026425,,Ready To Move,Ready To Move,"Thigalarapalya,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Begur Road,2.0,Dhalsh ,7.0909098220799835,2.0,2.0,3.7887247890836524,,Ready To Move,Ready To Move,"Begur Road,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Kasturi Nagar,2.0,GradeMR,6.985641817639208,2.0,2.0,4.394449154672439,,Ready To Move,Ready To Move,"Kasturi Nagar,Bangalore,Karnataka,India"
Plot  Area,Ready To Move,Hebbal Kempapura,5.0,others,7.732369222284388,5.0,2.0,5.303304908059076,,Ready To Move,Ready To Move,"Hebbal Kempapura,Bangalore,Karnataka,India"
Super built-up  Area,18-Mar,Akshaya Nagar,3.0,others,7.215975002651466,2.0,2.0,4.454347296253507,Mar,,Mar,"Akshaya Nagar,Bangalore,Karnataka,India"
Super built-up  Area,19-Dec,Jakkur,3.0,Ceezey ,7.531552381407289,3.0,1.0,4.8283137373023015,Dec,,Dec,"Jakkur,Bangalore,Karnataka,India"
Super built-up  Area,18-Nov,Sarjapur  Road,3.0,AsastDe,7.05444965813294,2.0,1.0,4.330733340286331,Nov,,Nov,"Sarjapur  Road,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Kammasandra,2.0,Icingpy,6.51471269087253,2.0,1.0,3.4011973816621555,,Ready To Move,Ready To Move,"Kammasandra,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Whitefield,3.0,AdndeBe,7.2485040723706105,2.0,1.0,4.3694478524670215,,Ready To Move,Ready To Move,"Whitefield,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Begur Road,2.0,Dhalsh ,7.057036981697891,2.0,2.0,3.8084386891715756,,Ready To Move,Ready To Move,"Begur Road,Bangalore,Karnataka,India"
Plot  Area,Ready To Move,Kengeri Satellite Town ( BDA SITE),4.0,others,7.3783837129967145,3.0,1.0,5.153291594497779,,Ready To Move,Ready To Move,"Kengeri Satellite Town ( BDA SITE),Bangalore,Karnataka,India"
Super built-up  Area,21-Mar,Hebbal,3.0,Oztarol,7.490529402060711,3.0,2.0,4.852030263919617,Mar,,Mar,"Hebbal,Bangalore,Karnataka,India"
Super built-up  Area,18-May,Electronic City,2.0,Prarkun,7.029087564149662,2.0,1.0,4.199455046624718,May,,May,"Electronic City,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Panathur,2.0,Arentpa,7.074116816197362,2.0,1.0,4.2626798770413155,,Ready To Move,Ready To Move,"Panathur,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,AGS Layout,3.0,others,7.280008252884188,2.0,2.0,4.454347296253507,,Ready To Move,Ready To Move,"AGS Layout,Bangalore,Karnataka,India"
Built-up  Area,18-Mar,Kengeri,1.0,others,5.831882477283517,1.0,1.0,2.3978952727983707,Mar,,Mar,"Kengeri,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Srinagar,4.0,others,7.601402334583733,3.0,1.0,5.117993812416755,,Ready To Move,Ready To Move,"Srinagar,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Rachenahalli,2.0,others,6.957497370876951,2.0,2.0,3.9982007016691985,,Ready To Move,Ready To Move,"Rachenahalli,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Varthur,2.0,Pethaai,7.026426808699636,2.0,2.0,3.713572066704308,,Ready To Move,Ready To Move,"Varthur,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Vittasandra,2.0,Prlla C,7.1284959456800365,2.0,1.0,4.23410650459726,,Ready To Move,Ready To Move,"Vittasandra,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,HSR Layout,2.0,SrisePo,7.224753405767971,2.0,1.0,4.127134385045092,,Ready To Move,Ready To Move,"HSR Layout,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Uttarahalli,3.0,Aklia R,7.193685818395112,2.0,1.0,4.04305126783455,,Ready To Move,Ready To Move,"Uttarahalli,Bangalore,Karnataka,India"
Super built-up  Area,19-Dec,Binny Pete,3.0,She 2rk,7.81035268372429,5.0,2.0,5.459585514144159,Dec,,Dec,"Binny Pete,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Dasarahalli,2.0,others,7.170888478512505,2.0,3.0,4.02535169073515,,Ready To Move,Ready To Move,"Dasarahalli,Bangalore,Karnataka,India"
Plot  Area,Ready To Move,Brigade Road,2.0,others,7.259116128097101,1.0,0.0,5.3981627015177525,,Ready To Move,Ready To Move,"Brigade Road,Bangalore,Karnataka,India"
Plot  Area,Ready To Move,Bannerghatta,4.0,others,6.698268054115413,4.0,1.0,3.9318256327243257,,Ready To Move,Ready To Move,"Bannerghatta,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Channasandra,2.0,Unm 2El,6.97166860472579,2.0,1.0,3.58351893845611,,Ready To Move,Ready To Move,"Channasandra,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Hessarghatta,2.0,others,6.55250788703459,2.0,0.0,3.332204510175204,,Ready To Move,Ready To Move,"Hessarghatta,Bangalore,Karnataka,India"
Carpet  Area,18-Mar,Hebbal,2.0,Arcia S,6.5342611101162085,2.0,0.0,3.777805663308338,Mar,,Mar,"Hebbal,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Belathur,2.0,Viiniai,6.957497370876951,2.0,1.0,3.828641396489095,,Ready To Move,Ready To Move,"Belathur,Bangalore,Karnataka,India"
Super built-up  Area,18-Apr,Maruthi HBCS Layout,3.0,others,7.1316985104669115,3.0,3.0,3.7013019741124933,Apr,,Apr,"Maruthi HBCS Layout,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Electronic City,2.0,Palleon,6.763884908562435,2.0,0.0,3.7612001156935624,,Ready To Move,Ready To Move,"Electronic City,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Uttarahalli,2.0,others,7.0909098220799835,2.0,2.0,3.8066624897703196,,Ready To Move,Ready To Move,"Uttarahalli,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Srirampura,3.0,NRnoral,7.471363088187097,3.0,3.0,4.61512051684126,,Ready To Move,Ready To Move,"Srirampura,Bangalore,Karnataka,India"
Plot  Area,Ready To Move,Malleshwaram,9.0,others,6.621405651764134,8.0,2.0,5.017279836814924,,Ready To Move,Ready To Move,"Malleshwaram,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Yelahanka,1.0,Ardanru,6.444131256700441,1.0,1.0,3.2188758248682006,,Ready To Move,Ready To Move,"Yelahanka,Bangalore,Karnataka,India"
